Start Date,End Date,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited,Photos
2010/12,2011/03,Art And Architecture In England,Baird Jarman,Winter Break,9,UK,UK
2010/08,2010/11,Chinese Studies In Tianjin,Qiguang Zhao,Fall,24,China,China
2010/12,2011/03,Comparing Welfare States In Australia,Peter Brandon,Winter,16,Australia,Australia
2010/12,2011/03,Conservation And Development In Tanzania And Kenya,Tsegaye Nega,Winter,21,Tanzania,"Kenya, Tanzania"
2010/08,2010/11,Cross-cultural Psychology In Prague,Ken Abrams,Fall,22,Czech Republic,Czech Republic
2010/06,2010/08,Economics Seminar In Cambridge,Lauren Feiler,Summer,25,UK,UK
2010/12,2011/03,English Literature And Theater In London,Constance Walker,Winter,21,UK,UK
2011/03,2011/06,European Political Economy In Madrid & Maastricht,Al Montero,Spring,26,Spain,"Spain, The Netherlands"
2011/03,2011/06,French Studies In Paris,Éva Pósfay,Spring,16,France,France
2010/12,2011/03,"History, Memory, And The Atlantic World",Harry Williams,Winter Break,12,Ghana,Ghana
2011/03,2011/06,New Media: Theory And Practice In Europe,John Schott,Spring,21,Spain,"Denmark, Germany, Spain"
2010/08,2010/11,Spanish Seminar In Madrid,Humberto Huergo,Fall,17,Spain,Spain
2010/12,2011/03,Studio Art In The South Pacific,Fred Hagstrom,Winter,25,New Zealand,"Australia, Cook Islands, New Zealand"
2010/12,2011/03,Tropical Field Ecology In Costa Rica,Mark McKone,Winter Break,11,Costa Rica,Costa Rica
